CourseName,TimeStart,StudentID,Name,Surname,UserName,City,Birthday,SSN
Metodi di finanziamento delle imprese,2020-09-28T08:30:00,901943,Quinzia,Schiavone,s901943@students.politu.it,Serso,3/30/1994,RW89830770
Metodi di finanziamento delle imprese,2020-09-28T08:30:00,901944,Amalio,Buccho,s901944@students.politu.it,Celenza Valfortore,3/30/1997,EI57964604
Metodi di finanziamento delle imprese,2020-09-28T08:30:00,901945,Clotilde,Pagnotto,s901945@students.politu.it,Robilante,3/30/1997,TR28699864
Metodi di finanziamento delle imprese,2020-09-28T08:30:00,901946,Giuliano,Arcuri,s901946@students.politu.it,Cremenaga,3/30/1997,MS13847507
Metodi di finanziamento delle imprese,2020-09-28T08:30:00,901948,Adolfa,Capon,s901948@students.politu.it,Anticoli Corrado,3/30/1998,QN71052835
Chimica,2020-09-28T11:30:00,901943,Quinzia,Schiavone,s901943@students.politu.it,Serso,3/30/1994,RW89830770
Chimica,2020-09-28T11:30:00,901944,Amalio,Buccho,s901944@students.politu.it,Celenza Valfortore,3/30/1997,EI57964604
Chimica,2020-09-28T11:30:00,901945,Clotilde,Pagnotto,s901945@students.politu.it,Robilante,3/30/1997,TR28699864
Chimica,2020-09-28T11:30:00,901946,Giuliano,Arcuri,s901946@students.politu.it,Cremenaga,3/30/1997,MS13847507
Chimica,2020-09-28T11:30:00,901947,Michelangelo,Longo,s901947@students.politu.it,Muhlbach,3/30/1998,DF31701737
